Date,Value
12/1/2022,21.13
11/1/2022,20.38
10/1/2022,19.38
9/1/2022,20.03
8/1/2022,21.63
7/1/2022,20.35
6/1/2022,20.28
5/1/2022,20.81
4/1/2022,22.4
3/1/2022,22.19
2/1/2022,22.42
1/1/2022,23.11
12/1/2021,23.63
11/1/2021,24.52
10/1/2021,24.39
9/1/2021,25.35
8/1/2021,26.23
7/1/2021,26.56
6/1/2021,26.7
5/1/2021,28.05
4/1/2021,29.92
3/1/2021,30.5
2/1/2021,33.24
1/1/2021,35.96
12/1/2020,39.26
11/1/2020,37.16
10/1/2020,35.3
9/1/2020,34.27
8/1/2020,34.41
7/1/2020,32.44
6/1/2020,31.29
5/1/2020,27.82
4/1/2020,24.97
3/1/2020,22.8
2/1/2020,26.42
1/1/2020,24.88
12/1/2019,22.78
11/1/2019,22.62
10/1/2019,22.04
9/1/2019,22.44
8/1/2019,21.67
7/1/2019,22.28
6/1/2019,21.37
5/1/2019,21.15
4/1/2019,21.56
3/1/2019,20.86
2/1/2019,20.6
1/1/2019,19.6
12/1/2018,19.39
11/1/2018,20.67
10/1/2018,21.25
9/1/2018,22.25
8/1/2018,22.37
7/1/2018,22.33
6/1/2018,22.49
5/1/2018,22.49
4/1/2018,22.53
3/1/2018,23.41
2/1/2018,23.82
1/1/2018,24.97
12/1/2017,24.25
11/1/2017,23.81
10/1/2017,23.67
9/1/2017,23.28
8/1/2017,23.16
7/1/2017,23.36
6/1/2017,23.4
5/1/2017,23.31
4/1/2017,23.24
3/1/2017,23.6
2/1/2017,23.68
1/1/2017,23.59
12/1/2016,23.76
11/1/2016,23.35
10/1/2016,23.57
9/1/2016,24.22
8/1/2016,24.57
7/1/2016,24.52
6/1/2016,23.97
5/1/2016,23.81
4/1/2016,23.97
3/1/2016,23.39
2/1/2016,22.02
1/1/2016,22.18
12/1/2015,23.74
11/1/2015,23.67
10/1/2015,22.68
9/1/2015,21.45
8/1/2015,22.15
7/1/2015,22.4
6/1/2015,22.12
5/1/2015,21.92
4/1/2015,21.42
3/1/2015,20.96
2/1/2015,20.77
1/1/2015,20.02
12/1/2014,20.08
11/1/2014,19.75
10/1/2014,18.5
9/1/2014,18.81
8/1/2014,18.68
7/1/2014,18.96
6/1/2014,18.88
5/1/2014,18.46
4/1/2014,18.35
3/1/2014,18.48
2/1/2014,18.06
1/1/2014,18.15
12/1/2013,18.04
11/1/2013,18.15
10/1/2013,17.86
9/1/2013,17.88
8/1/2013,17.91
7/1/2013,18.12
6/1/2013,17.8
5/1/2013,18.25
4/1/2013,17.69
3/1/2013,17.68
2/1/2013,17.32
1/1/2013,17.03
