DATE,UNRATE_PC1
2013-12-01,-15.18987
2014-01-01,-17.50000
2014-02-01,-12.98701
2014-03-01,-10.66667
2014-04-01,-18.42105
2014-05-01,-16.00000
2014-06-01,-18.66667
2014-07-01,-15.06849
2014-08-01,-15.27778
2014-09-01,-18.05556
2014-10-01,-20.83333
2014-11-01,-15.94203
2014-12-01,-16.41791
2015-01-01,-13.63636
2015-02-01,-17.91045
2015-03-01,-19.40299
2015-04-01,-12.90323
2015-05-01,-11.11111
2015-06-01,-13.11475
2015-07-01,-16.12903
2015-08-01,-16.39344
2015-09-01,-15.25424
2015-10-01,-12.28070
2015-11-01,-12.06897
2015-12-01,-10.71429
2016-01-01,-15.78947
2016-02-01,-10.90909
2016-03-01,-7.40741
2016-04-01,-5.55556
2016-05-01,-14.28571
2016-06-01,-7.54717
2016-07-01,-7.69231
2016-08-01,-3.92157
2016-09-01,0.00000
2016-10-01,-2.00000
2016-11-01,-7.84314
2016-12-01,-6.00000
2017-01-01,-2.08333
2017-02-01,-6.12245
2017-03-01,-12.00000
2017-04-01,-13.72549
2017-05-01,-8.33333
2017-06-01,-12.24490
2017-07-01,-10.41667
2017-08-01,-10.20408
2017-09-01,-14.00000
2017-10-01,-14.28571
2017-11-01,-10.63830
2017-12-01,-12.76596
2018-01-01,-14.89362
2018-02-01,-10.86957
2018-03-01,-9.09091
2018-04-01,-9.09091
2018-05-01,-13.63636
2018-06-01,-6.97674
2018-07-01,-11.62791
2018-08-01,-13.63636
2018-09-01,-13.95349
2018-10-01,-9.52381
2018-11-01,-9.52381
2018-12-01,-4.87805
2019-01-01,0.00000
2019-02-01,-7.31707
2019-03-01,-5.00000
2019-04-01,-10.00000
2019-05-01,-5.26316
2019-06-01,-10.00000
2019-07-01,-2.63158
2019-08-01,-2.63158
2019-09-01,-5.40541
2019-10-01,-5.26316
2019-11-01,-5.26316
2019-12-01,-7.69231
2020-01-01,-12.50000
2020-02-01,-7.89474
2020-03-01,15.78947
2020-04-01,308.33333
2020-05-01,266.66667
2020-06-01,205.55556
2020-07-01,175.67568
2020-08-01,127.02703
2020-09-01,125.71429
2020-10-01,91.66667
2020-11-01,86.11111
2020-12-01,86.11111
2021-01-01,82.85714
2021-02-01,77.14286
2021-03-01,36.36364
2021-04-01,-59.18367
2021-05-01,-56.06061
2021-06-01,-46.36364
2021-07-01,-47.05882
2021-08-01,-38.09524
2021-09-01,-40.50633
2021-10-01,-33.33333
2021-11-01,-37.31343
2021-12-01,-41.79104
2022-01-01,-37.50000
2022-02-01,-38.70968
2022-03-01,-40.00000
2022-04-01,-40.00000
2022-05-01,-37.93103
2022-06-01,-38.98305
2022-07-01,-35.18519
2022-08-01,-28.84615
2022-09-01,-25.53191
2022-10-01,-19.56522
